Adam Zampa
Adil Rashid
Alex Carey
Azam Khan
Babar Azam
Ben Stokes
Cameron Green
Chris Woakes
David Warner
Dawid Malan
Fakhar Zaman
Glenn Maxwell
Hardik Pandya
Haris Rauf
Iftikhar Ahmed
Imam-ul-Haq
Jason Roy
Jasprit Bumrah
Joe Root
Jofra Archer
Jonny Bairstow
Jos Buttler
Josh Hazlewood
KL Rahul
Marcus Stoinis
Mark Wood
Mitchell Starc
Moeen Ali
Mohammad Rizwan
Mohammed Shami
Naseem Shah
Pat Cummins
Ravindra Jadeja
Rishabh Pant
Rohit Sharma
Sam Curran
Sarfaraz Ahmed
Shadab Khan
Shaheen Afridi
Shoaib Malik
Shreyas Iyer
Shubman Gill
Steve Smith
Surya Kumar Yadav
Travis Head
Usman Khawaja
Virat Kohli
Yuzvendra Chahal
